Path,File type,File size,Category,Proposed action,Reason,Attribution required,Safe to delete,Final action
artifacts/aerokan_phm_critical_gate/abstention_model.pkl,.pkl,136,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_critical_gate/cascade_metadata.json,.json,92,Keep,Keep,Small frozen guard/uncertainty/policy artifact required by final manifest.,No,No,Kept
artifacts/aerokan_phm_critical_gate/critical_risk_gate.pkl,.pkl,60,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_critical_gate/gate_preprocessors.pkl,.pkl,1284,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_critical_gate/kan_preprocessor.pkl,.pkl,107,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_critical_gate/maintenance_policy.pkl,.pkl,166,Keep,Keep,Small frozen guard/uncertainty/policy artifact required by final manifest.,No,No,Kept
artifacts/aerokan_phm_critical_gate/one_sided_additive_kan_checkpoint.pt,.pt,3041,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_critical_gate/optimism_risk_gate.pkl,.pkl,70,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_critical_gate/uncertainty_model.pkl,.pkl,240,Keep,Keep,Small frozen guard/uncertainty/policy artifact required by final manifest.,No,No,Kept
artifacts/aerokan_phm_selective/abstention_model.pkl,.pkl,219,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/gate_model.pkl,.pkl,867,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/gate_preprocessor.pkl,.pkl,2480,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/healthy_baseline_metadata.json,.json,875,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/kan_feature_preprocessor.pkl,.pkl,2542,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/maintenance_policy.pkl,.pkl,598,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/one_sided_kan_checkpoint.pt,.pt,4487,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/pruning_mask.json,.json,253,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm_selective/uncertainty_model.pkl,.pkl,267,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/cv_gru_cv_r1_f1.pt,.pt,147069,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/cv_gru_cv_r1_f2.pt,.pt,147069,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/cv_gru_cv_r1_f3.pt,.pt,147069,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/cv_lstm_cv_r1_f1.pt,.pt,181003,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/cv_lstm_cv_r1_f2.pt,.pt,181003,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/cv_lstm_cv_r1_f3.pt,.pt,181003,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/locked_deep_model.pt,.pt,166553,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/screening_cnn1d.pt,.pt,90237,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/screening_cnn_lstm.pt,.pt,216245,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/screening_gru.pt,.pt,133025,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/screening_lstm.pt,.pt,166959,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/screening_sequence_mlp.pt,.pt,99039,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul/checkpoints/screening_tcn.pt,.pt,330365,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_10x5_mean_b_cv_r1_f1_seed9501.pt,.pt,391515,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_10x5_mean_b_cv_r1_f1_seed9502.pt,.pt,391515,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_10x5_mean_b_cv_r1_f2_seed9501.pt,.pt,391515,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_10x5_mean_b_cv_r1_f2_seed9502.pt,.pt,391515,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_10x5_mean_b_cv_r1_f3_seed9501.pt,.pt,391515,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_10x5_mean_b_cv_r1_f3_seed9502.pt,.pt,391515,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_5x5_attention_a_cv_r1_f1_seed9501.pt,.pt,341189,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_5x5_attention_a_cv_r1_f1_seed9502.pt,.pt,341189,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_5x5_attention_a_cv_r1_f2_seed9501.pt,.pt,341189,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_5x5_attention_a_cv_r1_f2_seed9502.pt,.pt,341189,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_5x5_attention_a_cv_r1_f3_seed9501.pt,.pt,341189,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/finalist_patch_transformer_5x5_attention_a_cv_r1_f3_seed9502.pt,.pt,341189,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/locked_extended_model.pt,.pt,374028,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_lstm_phase5_schedule_a.pt,.pt,169743,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_lstm_phase5_schedule_b.pt,.pt,169743,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_patch_transformer_10x5_mean_b.pt,.pt,377372,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_patch_transformer_5x5_attention_a.pt,.pt,326861,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_tcn_extended_schedule_a.pt,.pt,435201,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_tcn_extended_schedule_b.pt,.pt,544769,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_temporal_transformer_learned_attention_b.pt,.pt,406091,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/deep_rul_extended/checkpoints/stage_a_temporal_transformer_sinusoidal_mean_a.pt,.pt,308293,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/final_release/frozen_system_manifest.json,.json,14316,Keep,Keep,Release manifest artifact.,No,No,Kept
artifacts/final_release/source_artifact_manifest.json,.json,3852,Keep,Keep,Release manifest artifact.,No,No,Kept
artifacts/physics_guided_rul/checkpoints/finalist_physics_full_safety_fold1_seed9841.pt,.pt,413378,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_full_safety_fold1_seed9842.pt,.pt,413826,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_full_safety_fold2_seed9841.pt,.pt,413762,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_full_safety_fold2_seed9842.pt,.pt,413954,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_full_safety_fold3_seed9841.pt,.pt,413570,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_full_safety_fold3_seed9842.pt,.pt,414274,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_regime_fold1_seed9841.pt,.pt,376769,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_regime_fold1_seed9842.pt,.pt,375745,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_regime_fold2_seed9841.pt,.pt,376001,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_regime_fold2_seed9842.pt,.pt,375745,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_regime_fold3_seed9841.pt,.pt,375937,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/finalist_physics_regime_fold3_seed9842.pt,.pt,375745,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/final_preprocessor.pkl,.pkl,649045,Keep,Keep,Small frozen inference artifact required by final manifest.,No,No,Kept
artifacts/physics_guided_rul/checkpoints/final_train_transformed.pkl,.pkl,79675276,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/locked_physics_guided_model.pt,.pt,376106,Keep,Keep,Small frozen inference artifact required by final manifest.,No,No,Kept
artifacts/physics_guided_rul/checkpoints/screening_phase5b_reimplementation_baseline.pt,.pt,376250,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_cycle_rate.pt,.pt,394903,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_full.pt,.pt,413137,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_full_safety.pt,.pt,413516,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_health.pt,.pt,395315,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_monotonic.pt,.pt,375850,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_regime.pt,.pt,376763,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_smooth.pt,.pt,376123,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul/checkpoints/screening_physics_temporal_combined.pt,.pt,394998,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_phase5b_reimplementation_baseline.pt,.pt,376186,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_cycle_rate.pt,.pt,394903,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_full.pt,.pt,413073,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_full_safety.pt,.pt,413516,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_health.pt,.pt,395251,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_monotonic.pt,.pt,375850,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_regime.pt,.pt,376699,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_smooth.pt,.pt,376123,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_002719/checkpoints/screening_physics_temporal_combined.pt,.pt,394934,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_full_safety_fold1_seed9841.pt,.pt,413378,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_full_safety_fold1_seed9842.pt,.pt,413826,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_full_safety_fold2_seed9841.pt,.pt,413762,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_full_safety_fold2_seed9842.pt,.pt,413954,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_full_safety_fold3_seed9841.pt,.pt,413570,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_full_safety_fold3_seed9842.pt,.pt,414274,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_regime_fold1_seed9841.pt,.pt,376769,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_regime_fold1_seed9842.pt,.pt,375745,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_regime_fold2_seed9841.pt,.pt,376001,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_regime_fold2_seed9842.pt,.pt,375745,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_regime_fold3_seed9841.pt,.pt,375937,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/finalist_physics_regime_fold3_seed9842.pt,.pt,375745,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/locked_physics_guided_model.pt,.pt,374954,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_phase5b_reimplementation_baseline.pt,.pt,376250,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_cycle_rate.pt,.pt,394903,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_full.pt,.pt,413137,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_full_safety.pt,.pt,413516,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_health.pt,.pt,395315,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_monotonic.pt,.pt,375850,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_regime.pt,.pt,376763,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_smooth.pt,.pt,376123,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_failed_20260715_013350/checkpoints/screening_physics_temporal_combined.pt,.pt,394998,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_interrupted_20260714_234348/checkpoints/screening_phase5b_reimplementation_baseline.pt,.pt,376186,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_interrupted_20260714_234348/checkpoints/screening_physics_monotonic.pt,.pt,375850,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_refined/abstention_logistic_model.pkl,.pkl,757,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_refined/locked_uncertainty_policy.pkl,.pkl,1048,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_safety_refined/locked_maintenance_safety_policy.json,.json,3434,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/physics_guided_rul_safety_refined/locked_maintenance_safety_policy.pkl,.pkl,2743,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
configs/aerokan_rul_corrector.yaml,.yaml,2589,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/critical_gate_aerokan_corrector.yaml,.yaml,2799,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/fd001_alert_generalization.yaml,.yaml,7765,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/fd001_anomaly_calibration.yaml,.yaml,3238,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/fd001_baseline.yaml,.yaml,694,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/fd001_health_anomaly.yaml,.yaml,1381,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/maintenance_safety_policy_refinement.yaml,.yaml,3289,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/multidomain_deep_rul.yaml,.yaml,3733,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/multidomain_phm.yaml,.yaml,5902,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/multidomain_rul_uncertainty.yaml,.yaml,6237,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/multidomain_temporal_optimization.yaml,.yaml,6437,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/physics_guided_temporal_rul.yaml,.yaml,5148,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/physics_guided_temporal_rul_refinement.yaml,.yaml,1618,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
configs/selective_aerokan_safety_corrector.yaml,.yaml,3245,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
dashboard/app.py,.py,3166,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
data/raw/cmapss/Damage Propagation Modeling.pdf,.pdf,434158,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/readme.txt,.txt,2487,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/RUL_FD001.txt,.txt,529,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/RUL_FD002.txt,.txt,1369,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/RUL_FD003.txt,.txt,528,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/RUL_FD004.txt,.txt,1332,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/test_FD001.txt,.txt,2241951,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/test_FD002.txt,.txt,5768578,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/test_FD003.txt,.txt,2843247,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/test_FD004.txt,.txt,6998973,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/train_FD001.txt,.txt,3535987,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/train_FD002.txt,.txt,9136239,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/train_FD003.txt,.txt,4238582,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/train_FD004.txt,.txt,10411954,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
data/raw/cmapss/x.txt,.txt,1143,Add to .gitignore,Ignore,Raw C-MAPSS dataset should not be staged by default.,Yes,No,Ignored
docs/aeroguard_phm_final_report.md,.md,5639,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
docs/architecture.md,.md,2255,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
docs/references.md,.md,1749,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
docs/archive/README_before_detailed_release.md,.md,6590,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
docs/assets/README_IMAGE_MAPPING.md,.md,4246,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
docs/assets/readme/README_IMAGE_PLAN.md,.md,6015,Keep,Keep,README asset or asset plan.,No,No,Kept
docs/assets/readme/SCREENSHOT_CHECKLIST.md,.md,1498,Keep,Keep,README asset or asset plan.,No,No,Kept
